1,ロールバック,使用するログ：更新前ログ　適用後の状態：トランザクション開始前　別名：後退復帰,0
2,ロールフォワード,使用するログ：更新後ログ　適用後の状態：障害発生前　別名：前進復帰,0
3,トランザクション,主にデータベースなどにおいて使われる用語で、「複数の処理をまとめたもの」のことをさす。例：銀行の振込など
4,フェッチ,命令読み出し,0
5,デコード,解読,0
6,アドレス計算,0
7,オペランド,１+３の場合、１と３のこと,0
8,キャッシュメモリ,cpuの処理速度と主記憶の読み出し速度の差を埋めるための装置,0
9,LRU,置き換え対象の中で最も長い時間参照されていないものを置き換え対象とするアルゴリズム,0
10,ハードリアルタイムシステム,目的の時間内に処理が終了しなければシステムに致命的な影響を与えることになるシステム,0
11,ソフトリアルタイムシステム,処理時間が多少遅れても致命的な影響を与えないシステム,0
12,Ｅ－Ｒ図,対象とする世界を実態と関連の二つの概念で表現する図,0
13,MTBF,平均故障間隔　MTBFが長くなるほどシステムの稼働率は向上する,0
14,MTTR,（修復＝Repairと覚える）平均修復時間　MTTRが長くなるほどシステムの稼働率は低下する,0
15,ソフトウェア方式設計,ソフトウェアで実現する要件をソフトウェア方式に変換し、要件を達成するために必要なソフトウェア部品を定義する,0
16,グリーン調達,品質や価格の要件を満たすだけではなく、環境負荷の小さい製品やサービスを環境負荷の低減に努める事業者から優先して購入することである。,0
17,BYOD,従業員が個別で使用する情報端末を職場に持ち込みそれを業務に使用すること。,0
18,クラッシング,プロジェクトのスコープを変更せずにコストを追加投入することでプロジェクト全体のスケジュールを短縮させる方法（クリティカルパスを短縮させる必要がある）,0
19,外部キー制約,関係データベースの２つのテーブルの間の参照整合性を保つための制約。,0
20,EMS,電子機器の受託生産を行うサービスや企業の事,0
21,貸借対照表,企業のある一定時点における資産、負債、純資産の状態を表す財務諸表である,0
22,主キー,主キーの属性にはnull値の存在は許されない,0
23,エンタープライズアーキテクチャ,ビジネス、テクノロジ、アプリケーション、データ（アーキテクチャ）,0
24,トップダウンテスト,（スタブが必要）上位のモジュールから下位のモジュールへと順に結合しながらテストをしていく手法,0
25,ボトムアップテスト,（ドライバが必要）下位モジュールから検証を開始するテスト,0
26,スタブ,テスト対象から呼び出されるもの（下位モジュールの代用品）,0
27,ドライバ,テスト対象を呼び出す部品の代わりとなるもの（上位モジュールの代用品）,0
28,クライアントPC　,一般的に企業で社員に配布されているPCとして扱われる,0
29,実行可能状態,ＣPUなどのシステム資源が割り当てられさえすればすぐにでも実行できる状態,0
30,待ち状態,ＣPUなどのシステム資源が与えられても何もできない状態,0
31,ストアドプロシージャ,ＤBにたいする一連の処理をまとめた手続きにして、DB管理システムに保存したもの（ＤBアクセスのネットワーク負荷を軽減する仕組み）,0
32,フラグメンテーション,メモリが断片的にしか空いておらず大きなプログラムをロードする領域が確保できないことである,0
33,メモリリーク,バグなどが原因でプログラム終了時にメモリが解放されないこと,0
34,モーフィング,CGにおいてある物体から別の物体へ変形していく間をコンピュータ演算によって補完することで、自然な変形をする映像として作成する技法です。,0
35,データ中心アプローチ,様々な要因により変更される可能性のある業務プロセスと比較して、情報資源のデータ構造に注目する設計方法,0
36,ポートフォリオマネジメント,４つの四角のマトリックス図を使用しプロジェクトの位置づけを分析して資源配布を検討する手法である。,0
37,プロジェクト,独自性も有機性もある。独自の製品を創造するための一度限りの活動計画である。有機性である（始まる人終わる日が明確に決まっている）,0
38,リピーター,物理層で接続する装置。データの伝送可能距離を延長する装置,0
39,バイオメトリクス認証,"身体的特徴：瞳孔のしわ特徴で認証。,0
行動的特徴：署名するときの速度や筆圧からなど。",0
40,CRM,顧客ロイヤリティーの獲得と顧客生涯価値の最大化を目的とする,0
41,フールプルーフ,人為的操作ミスをしても誤動作をしないような設計の考え方,0
42,可用性,システムが正常に稼働し続け、ユーザーが必要な時にシステムが利用可能である特性を示す,0
43,ブラックボックステスト,入力とそれに対する出力だけに着目する（プログラムは見ない）,0
44,キュー,イメージ,0
45,スタック,イメージ,0
46,サラミ法,銀行口座などの多数の資産から、不正行為が表面化しない程度に少しずつ搾取する行為です,0
47,ARP,Ｉpアドレスから対応する機器のMACアドレスを取得するプロトコルである,0
48,アカウンタビリティー,企業が財務情報を定期的に公表するという考え方,0
49,SWOT,S）強み、W）弱み、O）機械、T）脅威,0
50,Javaアプレット,ブラウザ上で動くJAVAプログラム
51,散布図,データ群が右上がりであれば正の相関、右下がりなら負の相関である,0
52,ナレッジマネジメント,企業の持つ知的財産を共有し創造的な仕事につなげていく一連の活動,0
53,オーダー記表,2分探索）log2n、線形探索）n、ハッシュ探索,0
54,エンドシステム,コンピューターネットワークにおいてサーバー側から見て端末に位置するシステムやコンピュータの事,0
